Name,Adversary Type,Description,Attack Vector,Target Primitives,Historical Precedent,Degradation Mode,Defense Effectiveness Under Attack,Likelihood,Impact
Nation-State Validator Coercion,Nation-State,"Government compels validators in its jurisdiction to censor transactions or implement surveillance",Legal pressure on incorporated validators; sanctions enforcement; infrastructure seizure,"Consensus Mechanisms, Rollups, Settlement Layers","OFAC sanctions led 45% of Ethereum blocks to be OFAC-compliant; Tornado Cash addresses censored",Transactions from sanctioned addresses delayed or never included; two-tier transaction system emerges,Moderate - geographic distribution helps but major jurisdictions (US/EU) control significant stake,High,High
Coordinated Exchange Attack,Corporate/Market,"Major exchanges collude to manipulate oracle prices or halt withdrawals during crisis",Price manipulation via wash trading; coordinated withdrawal freezes; selective liquidation hunting,"Oracle Infrastructure, Lending/Borrowing, Perpetual DEXs","FTX halted withdrawals while insiders extracted funds; exchange-driven liquidation cascades",DeFi protocols using exchange-sourced oracles become manipulation vectors; mass liquidations,Low - multiple oracle sources help but exchanges remain price discovery source,Medium,Critical
Regulatory Capture of Bridges,Regulatory,"Regulators require bridge operators to implement KYC/AML or face shutdown",Travel rule enforcement on bridge transactions; validator licensing requirements; asset freezing mandates,"Cross-Chain Bridges, Interoperability",No full precedent but Wormhole and others have identifiable entities; FATF guidance moving this direction,Permissionless bridging ends; fragmented liquidity across compliant/non-compliant chains,Very Low - bridges are inherently identifiable chokepoints,High,High
Sophisticated Phishing at Scale,Criminal,"AI-generated phishing targeting wallet signers with personalized social engineering",Deepfake video calls; compromised communication channels; fake governance proposals,"Key Management, Multisig Infrastructure, Governance","$600M Ronin hack via compromised validator keys; numerous DAO treasury drains",Individual key compromises; slow multisig attacks over time; governance manipulation,Moderate - hardware wallets and social recovery help but human remains weak link,High,Medium
Zero-Day in Cryptographic Primitive,Technical,"Discovery of fundamental flaw in widely-used cryptographic assumption",Mathematical breakthrough; quantum computing; implementation bug in core library,"ZK Proofs, FHE, All cryptographic protocols","Dual EC DRBG NSA backdoor; various elliptic curve weaknesses discovered over time",All dependent systems simultaneously vulnerable; no immediate mitigation possible,Near Zero - cryptographic diversity is limited; most systems share assumptions,Low,Catastrophic
Supply Chain Compromise,Nation-State/Criminal,"Malicious code inserted into widely-used dependencies or hardware",Compromised npm packages; backdoored hardware wallets; infected compiler toolchains,"All smart contract protocols, Key Management, Security Primitives","SolarWinds attack; event-stream npm compromise; Ledger data breach",Undetected extraction of keys or funds; long-term surveillance; delayed activation,Low - code audits catch some issues but dependencies often unreviewed,Medium,Critical
Economic Attack on Consensus,Market,"Well-funded actor accumulates enough stake/hashpower to manipulate consensus",51% attacks; validator bribery; short-selling plus attack combination,"Consensus Mechanisms, Settlement Layers, Data Availability","Multiple 51% attacks on smaller PoW chains; theoretical PoS attacks modeled",Double-spends; chain reorganizations; censorship; confidence collapse,Moderate for large networks - economic cost is defense but not absolute,Low (Bitcoin/Ethereum) / High (smaller chains),Critical
Governance Capture via Token Accumulation,Market/Corporate,"Entity quietly accumulates governance tokens to control protocol direction",OTC accumulation; acquisition of distressed positions; voting bloc coordination,"Governance Primitives, DAO Frameworks, Treasury Management","a]16z accumulated significant Uniswap governance power; Curve wars for veCRV control",Protocol direction shifts away from decentralization; rent extraction; competitor sabotage,Low - once captured recovery is difficult; token voting inherently plutocratic,High,High
Targeted Developer Persecution,Nation-State,"Governments arrest or coerce core developers to compromise protocols",Arrest of key maintainers; travel restrictions; pressure on employers,"All protocols with identifiable developers","Tornado Cash developer arrested; Roman Sterlingov (Bitcoin Fog) case; Virgil Griffith prosecution",Development halts; forced backdoor insertion; protocol abandonment,Moderate - decentralized development helps but key person risk remains,Medium,High
Coordinated Deplatforming,Corporate/Regulatory,"Multiple infrastructure providers simultaneously remove access",Cloud providers + domain registrars + app stores + payment processors acting together,"All user-facing protocols, Stablecoins (redemption), Fiat Ramps","Parler deplatforming; Canadian trucker convoy account freezes; Tornado Cash frontend takedown",Protocol still functions but users cannot access; practical death for non-technical users,Low - this is precisely what d/acc infrastructure should defend against but current state is weak,Medium,High
Sybil Attack on Identity Systems,Criminal/Nation-State,"Mass creation of fake identities to subvert proof-of-personhood or quadratic funding",AI-generated biometrics; purchased identity documents; coordinated false attestations,"Reputation/Sybil Resistance, Quadratic Funding, Governance (if identity-gated)","Gitcoin grants farming; World ID biometric spoofing concerns; government ID fraud at scale",Democratic mechanisms captured by organized attackers; funding misdirected; governance illegitimate,Moderate - multiple signal aggregation helps but determined attacker can forge most signals,High,Medium
Quantum Computing Breakthrough,Technical,"Practical quantum computers capable of breaking elliptic curve cryptography",Shor's algorithm against ECDSA; harvest-now-decrypt-later attacks on recorded transactions,"All cryptographic protocols, Key Management, ZK Proofs (most variants)",No precedent but NSA reportedly stockpiling encrypted data; active quantum computing research,All current key pairs compromised; historical transactions deanonymizable; need full migration,Moderate for prepared protocols - quantum-resistant alternatives exist but migration is complex,Low (10yr) / Medium (20yr),Catastrophic
Insider Attack on Protocol Team,Criminal/Coerced,"Core team member deliberately introduces vulnerability or extracts value",Backdoor in upgrade; private key theft; social engineering of other team members,"All protocols with privileged access, Centralized sequencers, Upgradeable contracts",Multiple rug pulls; insider-assisted hacks; disgruntled employee scenarios,Funds drained; trust destroyed; difficult to distinguish from external hack,Low - this is why decentralization matters but many protocols aren't there yet,Medium,Critical
Smart Contract Bug Exploitation,Criminal,"Discovery and exploitation of logic error in deployed contracts",Reentrancy; oracle manipulation; flash loan attacks; logic errors,"All DeFi primitives, Bridges, Lending/Borrowing","The DAO hack; Wormhole; Euler Finance ($197M); Curve pool exploit",Protocol funds drained; cascading effects through composability; user fund loss,Low - audits and formal verification help but novel attack vectors emerge constantly,High,High
