Name,Dependency Type,Description,Provider/Bottleneck,Centralization Risk,Alternatives Exist,Failure Scenario,Affected Primitives,Mitigation Strategies
Ethereum Consensus,Infrastructure,"All EVM rollups and most DeFi depend on Ethereum's security budget and validator set","Ethereum validators (~800K but concentrated in Lido/Coinbase/Kraken)",High,FALSE,"Validator cartel censorship; 51% attack; social layer capture - entire L2 ecosystem halts","Rollups, Settlement Layers, Data Availability Layers","Multi-chain deployment; sovereign rollups on Celestia; Bitcoin settlement alternatives"
Cloud Infrastructure (AWS/GCP/Azure),Infrastructure,"Majority of blockchain nodes run on 3 cloud providers; includes RPC endpoints and indexers","Amazon (33%), Microsoft (22%), Google (10%)",Critical,Partially,"Coordinated deplatforming could take down 60%+ of network nodes within hours; happened to Parler","All primitives requiring node infrastructure","Bare metal node incentives; geographic distribution requirements; decentralized RPC (Pocket Network)"
Semiconductor Supply Chain,Infrastructure,"All hardware wallets, ZK provers, and FHE accelerators depend on TSMC/Samsung fabrication","TSMC (54% global foundry share), Samsung (17%)",Critical,FALSE,"Taiwan conflict disrupts all advanced chip production; 2-3 year delay to rebuild capacity elsewhere","FHE, ZK Proofs, Key Management, Hardware Wallets","Stockpiling; less advanced node alternatives; geographic fab diversification (long-term)"
Stablecoin Banking,Economic,"USDC/USDT require correspondent banking; Circle's banking relationships are concentrated","Circle (Silvergate collapsed, now BNY Mellon, Cross River)",Critical,Partially,"Banking partner failure freezes redemptions; happened with SVB causing USDC depeg to $0.87","Stablecoins, DeFi TVL, Cross-Chain Bridges","Decentralized stablecoins (DAI); multi-bank relationships; non-USD denominations"
Domain Name System,Infrastructure,"All dApps with web frontends depend on ICANN-controlled DNS; ENS doesn't help if browser can't resolve","ICANN, Verisign, Cloudflare (DNS resolution)",High,Partially,"Domain seizure (happened to Tornado Cash); DNS hijacking redirects users to phishing","All web-accessible protocols","IPFS frontends; ENS + IPFS resolution; alternative DNS roots (Handshake)"
Oracle Data Sources,Technical,"Chainlink and Pyth ultimately source from centralized exchanges (Binance, Coinbase, etc)","Binance (largest volume), Coinbase, Kraken",High,FALSE,"Exchange manipulation or failure corrupts all dependent price feeds; cascading liquidations","Oracle Infrastructure, Lending/Borrowing, Perpetual DEXs, Insurance","Multi-source aggregation; TWAP mechanisms; circuit breakers; on-chain CLOB price discovery"
Trusted Setup Ceremonies,Technical,"Many ZK systems (Groth16, older PLONK) require trusted setup; compromise breaks soundness","Ceremony participants; Zcash Powers of Tau had 87 participants",Medium,TRUE,"If all participants colluded or were compromised, fake proofs could be generated","ZK Proofs (SNARKs), Some ZK Rollups","STARKs (no trusted setup); Halo2 recursive proofs; transparent setup alternatives"
MEV Infrastructure,Economic,"Most Ethereum transactions route through Flashbots; block builders are highly concentrated","Flashbots (~80% of blocks), handful of builders",High,Partially,"Builder censorship (already happening - OFAC compliant builders); MEV extraction centralizes","AMMs, Intent-Based Systems, All DEX activity","Encrypted mempools; threshold encryption; inclusion lists (protocol level)"
Sequencer Centralization,Infrastructure,"Every major L2 (Arbitrum, Optimism, Base, zkSync) runs a single centralized sequencer","Offchain Labs, OP Labs, Coinbase, Matter Labs",Critical,FALSE,"Sequencer downtime halts L2 (happened multiple times); censorship at sequencer level","Rollups, All L2 DeFi","Decentralized sequencer roadmaps; based rollups; shared sequencing (Espresso)"
Auditor Concentration,Technical,"3-4 firms audit most high-value DeFi; their capacity limits ecosystem growth","Trail of Bits, OpenZeppelin, Spearbit, Consensys Diligence",Medium,Partially,"Missed vulnerability in widely-used code propagates everywhere; auditor reputation attack","All smart contract protocols","Formal verification; multiple audit requirement; bug bounties as complement"
Legal Entity Jurisdiction,Regulatory,"Most protocols have a legal entity somewhere; that jurisdiction can compel action","US (Delaware), Cayman, BVI, Switzerland foundations",High,TRUE,"Regulatory action against foundation forces protocol changes; happened with Tornado Cash dev arrest","Governance, DAO Frameworks, All protocols with identifiable teams","Legal wrapper diversification; progressive decentralization; anon development"
Bridge Validator Sets,Technical,"Cross-chain bridges typically secured by small multisig or validator set","Wormhole (19 guardians), LayerZero (DVNs), Axelar (75 validators)",Critical,Partially,"$2.8B already stolen; validator collusion or key compromise drains bridge","Cross-Chain Bridges, Multi-chain DeFi","ZK light client proofs; optimistic bridges with fraud proofs; native rollup bridging"
RPC Provider Concentration,Infrastructure,"Most wallets and dApps use Infura/Alchemy for blockchain access; users rarely run own nodes","Infura (Consensys), Alchemy, QuickNode",High,TRUE,"Provider outage or censorship breaks user access; Infura blocked Venezuela","All user-facing applications","Light clients in browser; decentralized RPC (Pocket, Lava); wallet-embedded nodes"
Fiat On/Off Ramps,Economic,"Converting between crypto and fiat requires regulated exchanges or payment processors","Coinbase, Kraken, MoonPay, banking partners",Critical,Partially,"Ramp closure strands users in crypto-only; Operation Choke Point 2.0 targeting crypto banking","All primitives (adoption bottleneck)","P2P markets; stablecoin merchant adoption; regulatory arbitrage across jurisdictions"
GitHub/Code Hosting,Infrastructure,"Nearly all crypto projects host code on Microsoft-owned GitHub; includes CI/CD pipelines","Microsoft (GitHub), GitLab (distant second)",High,TRUE,"Repository takedown removes development coordination; happened to Tornado Cash","All open source protocols","Self-hosted GitLab; Radicle (decentralized git); code mirroring strategies"
