Name,Primitive/Project,Dynamic Type,Description,Current Phase,Trajectory,Phase Transition Triggers,Early Warning Signs,Historical Pattern,Intervention Points
Liquid Staking Centralization,Consensus Mechanisms,Centralization Spiral,"Network effects drive stake toward largest liquid staking providers; Lido reached 33% threshold",Concentration,"Worsening - Lido at 28-32%, trending toward supermajority","Lido crossing 33% (safety threshold) or 50% (consensus control)",Lido governance proposals to self-limit failing; new LST protocols failing to gain share,"Similar to mining pool centralization in Bitcoin; economies of scale favor consolidation",Protocol-level limits on single provider stake; social pressure campaigns; competing LST incentives
Oracle Market Consolidation,Oracle Infrastructure,Winner-Take-Most,"Integration costs and network effects favor incumbent; Chainlink maintained 46-58% despite competition",Mature Concentration,Stable but contested - Pyth growing via different model,New chain launches choosing alternatives; major protocol switching costs dropping,Chainlink price feeds becoming single point of failure for major protocols; no viable backup,"Search engine market (Google 90%+); social networks; infrastructure tends toward monopoly",Early-stage chain relationships; differentiated oracle models (pull vs push); specialized verticals
ZK Prover Decentralization,ZK Proofs,Decentralization Opportunity,"Currently centralized (protocol teams run provers) but technical path to decentralization exists",Early Centralized,Improving - proving costs dropping; decentralized prover networks emerging,"Proof generation becoming commodity; multiple competitive prover implementations","Prover networks launching (Gevulot, Succinct); proof aggregation reducing costs","Mining decentralized then recentralized; similar pattern possible",Invest in prover network infrastructure; support multiple ZK implementations
L2 Sequencer Roadmaps,Rollups,Promised Decentralization,"All major L2s launched with centralized sequencers; decentralization 'on roadmap' for years",Centralized,Uncertain - roadmaps exist but timelines slip consistently,"Shared sequencer production launch; first L2 achieving decentralized sequencing",Roadmap delays without explanation; revenue model dependent on sequencer fees; team resistance to timeline commitments,"Ethereum went from Vitalik-controlled to decentralized; took 7+ years",Shared sequencer investment; based rollup development; credible commitment mechanisms
Stablecoin Regulatory Capture,Stablecoins,Regulatory Absorption,"Regulated stablecoins increasingly dominating; USDC/USDT complying with sanctions and freezing",Partial Capture,Worsening - MiCA and GENIUS Act increase compliance requirements,"Major jurisdiction banning non-compliant stablecoins; banking system refusing to service non-KYC stables",Circle adding more compliance features; decentralized stablecoin market share declining; regulatory language tightening,"Traditional finance pattern: money market funds captured post-2008",Decentralized stablecoin scaling; non-USD stablecoin development; regulatory arbitrage jurisdictions
DAO Voter Apathy,Governance Primitives,Participation Decay,"Initial enthusiasm gives way to voter fatigue; participation rates declining across major DAOs",Declining,Worsening - average participation 17% and falling,"Quorum thresholds consistently not met; governance attacks succeeding due to low turnout",Proposal quality declining; delegate concentration increasing; community sentiment shifting to 'governance theater',"Shareholder democracy has same pattern; HOA voting; union elections",Voting incentive mechanisms; delegation improvements; governance minimization
DeFi Institutional Capture,Lending/Borrowing,Regulatory Integration,"DeFi protocols adding KYC pools and compliance features to attract institutional capital",Emerging Capture,Accelerating - institutional demand driving compliance features,"Aave Arc-style permissioned pools becoming majority of TVL; non-compliant DeFi marginalized",Major protocols launching KYC-gated products; institutional TVL exceeding retail; compliance-as-a-service integrations,"Traditional finance started permissionless (bucket shops) then regulated into current form",Maintain permissionless versions; fork rights; credible neutrality commitments
Bridge Security Evolution,Cross-Chain Bridges,Security Improvement,"After $2.8B in hacks, bridge security models evolving from multisig toward ZK proofs",Transition,Improving - ZK bridges in development; optimistic bridges adding fraud proofs,"First major ZK bridge reaching $1B+ TVL with clean security record",ZK bridge testnets launching; legacy bridge volume declining to ZK alternatives; major hacks accelerating transition,"Similar to exchange security evolution after Mt. Gox",ZK bridge development; light client research; native rollup bridging
MEV Democratization,AMMs,Value Distribution Shift,"MEV extraction increasingly captured by sophisticated actors; some returning to users via protocols",Extractive,Uncertain - MEV redistribution protocols emerging but builders still concentrated,"Encrypted mempool adoption reaching majority; inclusion lists enforced at protocol level",Block builder concentration decreasing; MEV-Share/MEV Blocker adoption; user-facing MEV protection becoming default,"Email spam: initially extractive, then filtering/defense improved",MEV protection protocol investment; encrypted mempool development; user education
Identity Standards Fragmentation,Decentralized Identity,Standards War,"200+ DID methods creating fragmentation; risk of winner-take-all vs interoperability",Fragmentation,Uncertain - could consolidate around winner or achieve interop,"Major platform adopting single standard; government identity systems choosing winner",Cross-method verification becoming harder; developers choosing single-stack; attestation portability failing,"Browser wars eventually reached standards; social login fragmented (FB/Google/Apple)",Interoperability protocol investment; standards body participation; avoid single-stack lock-in
Privacy Regulatory Pressure,Privacy Primitives,Existential Threat,"Increasing regulatory hostility to privacy technologies; Tornado Cash precedent",Under Attack,Worsening - regulatory clarity trending anti-privacy,"Major ZK project receiving similar treatment to Tornado Cash; privacy features becoming liability for protocols",Exchanges delisting privacy coins; ZK projects adding compliance features; legal defense fund activity,"Encryption wars of 1990s; eventually resolved in favor of encryption but took decade",Legal defense funding; regulatory engagement; privacy-preserving compliance research
Quadratic Funding Sybil Arms Race,Quadratic Funding,Attack/Defense Cycle,"Sybil attacks grow more sophisticated; defense mechanisms improve but attackers adapt",Active Contest,Ongoing - each round reveals new attack vectors and defenses,"Defense costs exceeding value distributed; legitimate participants excluded by false positives",Matching pool returns diminishing; legitimate projects avoiding QF; attack sophistication increasing faster than defense,"Spam/anti-spam evolution; ad fraud; any system with economic incentive to game",Novel identity mechanisms; reputation staking; complementary funding mechanisms
NFT Market Maturation,Decentralized Storage,Market Cycle,"Speculative bubble collapsed; transitioning to utility-focused applications",Post-Bubble,Stabilizing - down 90%+ from peak but finding sustainable niches,Clear utility use cases (ticketing, credentials) reaching mainstream; speculation decoupling from utility,Audius/ticketing adoption independent of NFT price speculation; creator adoption for genuine utility,"Dot-com bust followed by sustainable tech companies; most speculation dies but core value survives",Utility NFT applications; infrastructure vs speculation distinction
Account Abstraction Adoption,Key Management,Infrastructure Transition,"EOAs (externally owned accounts) being supplemented/replaced by smart contract wallets",Early Adoption,Improving - ERC-4337 live; wallet adoption growing,"Major wallet defaulting to smart accounts; gas sponsorship becoming common",New user onboarding increasingly via smart accounts; social recovery as default option,"Mobile apps replaced desktop; took 5-10 years for full transition",Smart wallet development; user experience research; gas sponsorship infrastructure
